Richard Weil JD                  , JANUS CAPITAL GROUP INC
Richard Garneau                  , RESOLUTE FOREST PRODUCTS INC
Richard Matros                   , SABRA HEALTH CARE REIT INC
Richard Bergman                  , SYNAPTICS INC
Richard McVey                    , MARKETAXESS HOLDINGS INC
Richard Gonzalez                 , ABBVIE INC
Richard Kyle                     , TIMKEN CO
Richard O'Dell                   , SAIA INC
Richard Handler                  , LEUCADIA NATIONAL CORP
Richard Fain                     , ROYAL CARIBBEAN CRUISES LTD
Richard Muncrief                 , WPX ENERGY INC
Rick Holley                      , PLUM CREEK TIMBER CO INC
Rick Wessel                      , FIRST CASH FINANCIAL SVCS
Robert Spilman Jr                , BASSETT FURNITURE INDS
Robert Wilmers                   , M & T BANK CORP
Robert Sands II                  , CONSTELLATION BRANDS  -CL A
Robert Weiss                     , COOPER COMPANIES INC
Robert Myers                     , CASEYS GENERAL STORES INC
Robert Whitman                   , FRANKLIN COVEY CO
Robert Friel                     , PERKINELMER INC
Robert Stanzione                 , ARRIS GROUP INC
Robert Mehrabian                 , TELEDYNE TECHNOLOGIES INC
Robert Johnston                  , OVERSEAS SHIPHOLDING GROUP
Robert Iger                      , DISNEY WALT CO
Robert Phillippy                 , NEWPORT CORP
Robert McCormick                 , TRUSTCO BANK CORP NY
Robert Niblock                   , LOWE'S COMPANIES INC
Robert Parkinson Jr              , BAXTER INTERNATIONAL INC
Robert Skaggs Jr                 , NISOURCE INC
Robert Monson                    , SEITEL INC
Robert Edwards                   , SAFEWAY INC
Robert Goergen Jr                , BLYTH INC
Robert Dennis                    , GENESCO INC
Robert Schottenstein             , M I HOMES INC
Robert Sprowls                   , AMERICAN STATES WATER CO
Robert Greenberg                 , SKECHERS U S A INC
Robert Sulentic                  , CBRE GROUP INC
Robert Pollock                   , ASSURANT INC
Robert Gasser                    , INVESTMENT TECHNOLOGY GP INC
Robert Dutkowsky                 , TECH DATA CORP
Robert Sinnott MNS PhD           , MANNATECH INC
Robert Ortberg                   , ROCKWELL COLLINS INC
Robert Sanchez                   , RYDER SYSTEM INC
Robert Eck                       , ANIXTER INTL INC
Robert Bradway                   , AMGEN INC
Robert Wagman                    , LKQ CORP
Robert Jones                     , OLD NATIONAL BANCORP
Robert Greifeld                  , NASDAQ OMX GROUP INC
Robert Davis                     , RENT-A-CENTER INC
Robert Antin                     , VCA INC
Robert Carr                      , HEARTLAND PAYMENT SYSTEMS
Robert Rowe Esq                  , NORTHWESTERN CORP
Robert Willett                   , COGNEX CORP
Robert Livingston                , DOVER CORP
Robert Patterson                 , POLYONE CORP
Robert Marcus                    , TIME WARNER CABLE INC
Robert Hugin MBA                 , CELGENE CORP
Robert Jornayvaz III             , INTREPID POTASH INC
Robert Benmosche                 , AMERICAN INTERNATIONAL GROUP
Robert Alderson                  , KIRKLAND'S INC
Robert Saltiel                   , ATWOOD OCEANICS
Robert Taubman                   , TAUBMAN CENTERS INC
Robert Eberle                    , BOTTOMLINE TECHNOLOGIES INC
Robert Yorgensen                 , STR HOLDINGS INC
Robert Cubbin                    , MEADOWBROOK INS GROUP INC
Robert LoCascio                  , LIVEPERSON INC
Robert Larney                    , CDI CORP
Robert Lynch                     , LUMBER LIQUIDATORS HLDGS INC
Robert Flexon                    , DYNEGY INC
Robert Frist Jr                  , HEALTHSTREAM INC
Robert Martin                    , THOR INDUSTRIES INC
Robert Thomson                   , NEWS CORP
Robert Apatoff                   , FTD COMPANIES INC
Robert Carrigan                  , DUN & BRADSTREET CORP
Robert Philpott                  , HARTE HANKS INC
Robert Wetherbee                 , MINERALS TECHNOLOGIES INC
Robert Lawler                    , CHESAPEAKE ENERGY CORP
Robert Workman                   , NOW INC
Robert Currey                    , CONSOLIDATED COMM HLDGS INC
Robert Abernathy                 , HALYARD HEALTH INC
Robert Pagano Jr                 , WATTS WATER TECHNOLOGIES INC
Robert Fish                      , GENESIS HEALTHCARE CORP
Robert Dickey                    , GANNETT CO INC
Robert Skaggs Jr                 , COLUMBIA PIPELINE GROUP INC
Robin Raina                      , EBIX INC
Rodney O'Neal                    , DELPHI AUTOMOTIVE PLC
Rodney Sacks HDipLaw H           , MONSTER BEVERAGE CORP
Rodney Hershberger               , PGT INC
Roger Medel MD                   , MEDNAX INC
Roger Fix                        , STANDEX INTERNATIONAL CORP
Roger Waesche Jr                 , CORP OFFICE PPTYS TR INC
Roger Jenkins                    , MURPHY OIL CORP
Roger Stone                      , KAPSTONE PAPER & PACKAGING
Roger Wood                       , DANA HOLDING CORP
Roger Krone                      , LEIDOS HOLDINGS INC
Rohit Kapoor                     , EXLSERVICE HOLDINGS INC
Roland Smith                     , OFFICE DEPOT INC
Roman Blanco                     , SANTANDER HOLDINGS USA INC
Ron Cohen MD                     , ACORDA THERAPEUTICS INC
Ronald Shaich                    , PANERA BREAD CO
Ronald Sargent                   , STAPLES INC
Ronald Duncan                    , GENERAL COMMUNICATION  -CL A
Ronald Mittelstaedt              , WASTE CONNECTIONS INC
Ronald Hermance Jr               , HUDSON CITY BANCORP INC
Ronald Havner Jr                 , PUBLIC STORAGE
Ronald Tanski                    , NATIONAL FUEL GAS CO
Ronald Nelson                    , AVIS BUDGET GROUP INC
Ronald DeFeo                     , TEREX CORP
Ronald Croatti                   , UNIFIRST CORP
Ronald Kramer                    , GRIFFON CORP
Ronald Kruszewski                , STIFEL FINANCIAL CORP
Ronald Armstrong                 , PACCAR INC
Ronald Jibson                    , QUESTAR CORP
Ronald Allen                     , AARON'S INC
Ronald LaBorde                   , AMEDISYS INC
Ronald Black PhD                 , RAMBUS INC
Ronald Kochman                   , VOLT INFO SCIENCES INC
Ronald Stewart                   , PRGX GLOBAL INC
Ronald Nersesian                 , KEYSIGHT TECHNOLOGIES INC
Rory Read                        , ADVANCED MICRO DEVICES
Roy Whitehead                    , WASHINGTON FEDERAL INC
Roy Armes                        , COOPER TIRE & RUBBER CO
Russell Goldsmith II             , CITY NATIONAL CORP
Russell Fradin                   , SUNGARD DATA SYSTEMS INC
Ryan Lance                       , CONOCOPHILLIPS
S Kannappan                      , PLANTRONICS INC
S Passman III                    , CARMIKE CINEMAS INC
Sally Smith                      , BUFFALO WILD WINGS INC
Salvatore Iannuzzi               , MONSTER WORLDWIDE INC
Salvatore Guccione               , ACETO CORP
Sam Reed                         , TREEHOUSE FOODS INC
Sammy Duncan                     , SUPERVALU INC
Samuel Allen                     , DEERE & CO
Samuel Thomas                    , CHART INDUSTRIES INC
Sandeep Mathrani                 , GENERAL GROWTH PPTYS INC
Sandra Cochran                   , CRACKER BARREL OLD CTRY STOR
Sanford Ibrahim                  , RADIAN GROUP INC
Sanjay Mehrotra                  , SANDISK CORP
Sardar Biglari                   , BIGLARI HOLDINGS INC
Scott Sheffield                  , PIONEER NATURAL RESOURCES CO
Scott Morris                     , AVISTA CORP
Scott Stowell                    , STANDARD PACIFIC CORP
Scott McGregor                   , BROADCOM CORP  -CL A
Scott Anderson                   , PATTERSON COMPANIES INC
Scott Bok JD                     , GREENHILL & CO INC
Scott Wine                       , POLARIS INDUSTRIES INC
Scott Donnelly                   , TEXTRON INC
Scott Fainor                     , NATIONAL PENN BANCSHARES INC
Scott Seymour                    , AEROJET ROCKETDYNE HOLDINGS
Scott Howe                       , ACXIOM CORP
Scott Dolan                      , CASTLE A M & CO
Scott Buckhout                   , CIRCOR INTL INC
Scott Steffey                    , CAREER EDUCATION CORP
Scott Scherr                     , ULTIMATE SOFTWARE GROUP INC
Scott Prochazka                  , CENTERPOINT ENERGY INC
Sean Healey JD                   , AFFILIATED MANAGERS GRP INC
Sean Reilly                      , LAMAR ADVERTISING CO  -CL A
Sean Downes                      , UNIVERSAL INSURANCE HLDGS
Serge Matta                      , COMSCORE INC
Shane Fleming                    , CYTEC INDUSTRIES INC
Shantanu Narayen                 , ADOBE SYSTEMS INC
Shaun McAlmont                   , LINCOLN EDUCATIONAL SERVICES
Shaygan Kheradpir PhD            , JUNIPER NETWORKS INC
Shelly Ibach                     , SELECT COMFORT CORP
Sherilyn McCoy                   , AVON PRODUCTS
Shirley Singleton                , EDGEWATER TECHNOLOGY INC
Sohaib Abbasi                    , INFORMATICA CORP
Spencer Kirk                     , EXTRA SPACE STORAGE INC
Stanley Bergman                  , SCHEIN HENRY INC
Stanley Askren                   , HNI CORP
Stanley Galanski                 , NAVIGATORS GROUP INC
Stanley Kuriyama                 , ALEXANDER & BALDWIN INC
Sten Gustafson                   , ERA GROUP INC
Stephane Gonthier LLB MBA        , 99 CENTS ONLY STORES
Stephanie Streeter               , LIBBEY INC
Stephen Sanghi                   , MICROCHIP TECHNOLOGY INC
Stephen Hagge                    , APTARGROUP INC
Stephen Chazen                   , OCCIDENTAL PETROLEUM CORP
Stephen Hemsley                  , UNITEDHEALTH GROUP INC
Stephen Lacy                     , MEREDITH CORP
Stephen Berman                   , JAKKS PACIFIC INC
Stephen Angel                    , PRAXAIR INC
Stephen Luczo                    , SEAGATE TECHNOLOGY PLC
Stephen Milligan                 , WESTERN DIGITAL CORP
Stephen Zarrilli CPA             , SAFEGUARD SCIENTIFICS INC
Stephen Holmes                   , WYNDHAM WORLDWIDE CORP
Stephen Romaine                  , TOMPKINS FINANCIAL CORP
Stephen Wynn                     , WYNN RESORTS LTD
Stephen MacAdam                  , ENPRO INDUSTRIES INC
Stephen Smith                    , EQUINIX INC
Stephen Hooley                   , DST SYSTEMS INC
Stephen Steinour                 , HUNTINGTON BANCSHARES
Stephen Smith                    , WILEY JOHN & SONS  -CL A
Stephen Schwartz                 , BROOKS AUTOMATION INC
Stephen Waldis                   , SYNCHRONOSS TECHNOLOGIES
Stephen Carley                   , RED ROBIN GOURMET BURGERS
Stephen Weisz                    , MARRIOTT VACATIONS WORLDWIDE
Stephen Kaufer                   , TRIPADVISOR INC
Stephen Rusckowski               , QUEST DIAGNOSTICS INC
Stephen Macmillan                , HOLOGIC INC
Steven Ballmer                   , MICROSOFT CORP
Steven Klosk                     , CAMBREX CORP
Steven Temares                   , BED BATH & BEYOND INC
Steven Nielsen                   , DYCOM INDUSTRIES INC
Steven Berglund                  , TRIMBLE NAVIGATION LTD
Steven Anderson                  , CRYOLIFE INC
Steven Cooper                    , TRUEBLUE INC
Steven Collis                    , AMERISOURCEBERGEN CORP
Steven Shindler                  , NII HOLDINGS INC
Steven Kriegsman                 , CYTRX CORP
Steven Voorhees                  , WESTROCK CO
Steven Hilton                    , MERITAGE HOMES CORP
Steven Demetriou                 , ALERIS CORP
Steven Roth                      , VORNADO REALTY TRUST
Steven Newman                    , TRANSOCEAN LTD
Steven Laub                      , ATMEL CORP
Steven Davis                     , BOB EVANS FARMS
Steven Miller                    , BIG 5 SPORTING GOODS CORP
Steven Tanger                    , TANGER FACTORY OUTLET CTRS
Steven Fredrickson               , PRA GROUP INC
Steven Johnston FCAS MAAA        , CINCINNATI FINANCIAL CORP
Steven Mueller                   , SOUTHWESTERN ENERGY CO
Steven Kandarian JD              , METLIFE INC
Steven Plochocki                 , QUALITY SYSTEMS INC
Steven Rowley                    , EAGLE MATERIALS INC
Steven Spinner                   , UNITED NATURAL FOODS INC
Steven Mollenkopf                , QUALCOMM INC
Steven Rathgaber                 , CARDTRONICS INC
Steven Morgan                    , HANCOCK FABRICS INC
Steven Berman                    , DORMAN PRODUCTS INC
Steven Streit                    , GREEN DOT CORP
Steven Anenen                    , CDK GLOBAL INC
Steven Gunby JD                  , FTI CONSULTING INC
Strauss Zelnick Esq JD           , TAKE-TWO INTERACTIVE SFTWR
Stuart Miller                    , LENNAR CORP
